"lnp_id","original_score","original_rank","median_rank","min_rank","max_rank","top1_frequency","top10_frequency","top20_frequency","median_score","min_score","max_score"
"LNP_0259",0.573776308481292,198,201,109,386,0,0,0,0.577465262615699,0.329761323677134,0.70667961935479
"LNP_0101",0.573711552784665,199,199,137,264,0,0,0,0.578983965526649,0.504963712015857,0.706199283215101
"LNP_0488",0.571847288417796,200,200,133,288,0,0,0,0.579615084278493,0.470059395537022,0.707489509736756
"LNP_0342",0.571769022942666,201,220,134,363,0,0,0,0.56619895981404,0.472089613247844,0.641838443965636
"LNP_0165",0.570565274540788,202,207,161,274,0,0,0,0.571681076427776,0.490154230184073,0.693457474721396
"LNP_0359",0.567763513998371,203,214,127,354,0,0,0,0.569185540864288,0.370880601987754,0.69671014484754
"LNP_0484",0.567627243877459,204,207,163,318,0,0,0,0.580452632785983,0.522744380790069,0.663399090102023
"LNP_0197",0.567025164167246,205,211,129,333,0,0,0,0.570050335860118,0.399913283500684,0.710299080778668
"LNP_0475",0.565912687563961,206,201.5,95,244,0,0,0,0.582100232665821,0.489368002684731,0.72137982197854
"LNP_0179",0.562901174354895,207,177,37,301,0,0,0,0.609170277758198,0.404836836400256,0.84978300051378
"LNP_0298",0.562691386538576,208,202,46,261,0,0,0,0.583499275761871,0.4673803655519,0.732420606500665
"LNP_0300",0.562468127740252,209,198,154,250,0,0,0,0.585738499293732,0.472712655500055,0.702045134806099
"LNP_0495",0.562388491776317,210,195,104,270,0,0,0,0.593430699753121,0.460562311909371,0.748642275504978
"LNP_0163",0.562171642779735,211,210,93,320,0,0,0,0.571651734453907,0.419302026351235,0.713837391991069
"LNP_0098",0.56133476928542,212,197,117,270,0,0,0,0.587556285266966,0.471196665267741,0.714013874836257
"LNP_0252",0.560939027623048,213,215,168,253,0,0,0,0.56535301576184,0.514359597794181,0.694058199575603
"LNP_0178",0.558857206181571,214,216,101,299,0,0,0,0.566183732455376,0.453521337199176,0.720203859713924
"LNP_0074",0.555983503508898,215,181,73,297,0,0,0,0.600727816108073,0.408170091341388,0.728377758846963
"LNP_0115",0.555579628713939,216,211,131,298,0,0,0,0.581560088949066,0.468523423457633,0.716275024832185
"LNP_0060",0.555476273481375,217,222,110,409,0,0,0,0.560511166336536,0.295586417205068,0.716018220327779
"LNP_0263",0.55420759899296,218,218,127,326,0,0,0,0.575141466888687,0.486517268095642,0.724639634439338
"LNP_0136",0.551864675216383,219,219,47,285,0,0,0,0.565599167362719,0.471051921659795,0.731564151778443
"LNP_0385",0.550977339377994,220,244,169,358,0,0,0,0.542177537934677,0.515475877428918,0.579117221795712
"LNP_0103",0.547641451503157,221,234,192,302,0,0,0,0.549892136854679,0.47141525723581,0.674720731796073
"LNP_0164",0.547568579675369,222,243,168,363,0,0,0,0.543440713648673,0.470209387839017,0.585735484464937
"LNP_0188",0.545966302146145,223,230,90,327,0,0,0,0.553095986202274,0.411549095792331,0.717169580880128
"LNP_0064",0.544919826658822,224,230,167,305,0,0,0,0.552209777399854,0.438739532341496,0.697299630153165
"LNP_0438",0.54293588584489,225,284,97,427,0,0,0,0.504398159666841,0.370974525198564,0.674833362097297
"LNP_0433",0.542880739778203,226,259,167,377,0,0,0,0.527832959289208,0.475015947261033,0.59424752982314
"LNP_0051",0.54099768740658,227,213,111,291,0,0,0,0.5732890546701,0.426717977201634,0.717577210916672
"LNP_0409",0.540689269654265,228,274,120,429,0,0,0,0.512829323676247,0.387995891379726,0.645683919143389
"LNP_0432",0.539214537017265,229,235,133,296,0,0,0,0.548999162826804,0.460618753890529,0.709208408519553
"LNP_0443",0.537154411372904,230,217,139,289,0,0,0,0.571009904260398,0.427662407885924,0.693489028175377
"LNP_0309",0.536032005625704,231,263,164,376,0,0,0,0.52193222793008,0.459965250913861,0.587817833256723
"LNP_0006",0.535783038275598,232,237,180,271,0,0,0,0.548535391804281,0.466222676569008,0.689795731972939
"LNP_0057",0.53553249953824,233,243,197,339,0,0,0,0.545068360459149,0.504213743202615,0.608308153180894
"LNP_0348",0.535165470899796,234,242,154,421,0,0,0,0.541745802485907,0.282948435408591,0.697695450119219
"LNP_0407",0.533564701272688,235,254,172,389,0,0,0,0.52909501774149,0.440441981959515,0.613346341918137
"LNP_0470",0.533427750258729,236,205,69,325,0,0,0,0.583098618509282,0.371672989156522,0.794842458720574
"LNP_0392",0.532914026192198,237,265,176,371,0,0,0,0.520692790058951,0.476154722766884,0.58182402767559
"LNP_0036",0.53170241535023,238,262,180,374,0,0,0,0.522410896918402,0.457156109047209,0.587591169839605
"LNP_0166",0.531641375823803,239,246,176,360,0,0,0,0.537451248457407,0.364644273333911,0.689132107520172
"LNP_0116",0.528859759739883,240,265,152,401,0,0,0,0.519310294372823,0.425881784370998,0.627945263927568
"LNP_0302",0.527383916286371,241,212,40,330,0,0,0,0.575178567501191,0.365557712604886,0.725138004144544
"LNP_0321",0.526009971091841,242,244,166,340,0,0,0,0.55013899246776,0.433446974382783,0.658431250754656
"LNP_0086",0.525441586276132,243,251,178,346,0,0,0,0.532739614732343,0.385654800426618,0.693010893671379
"LNP_0243",0.525032311510438,244,249,149,384,0,0,0,0.534606807386925,0.331888624878135,0.704202952207311
"LNP_0237",0.52475843142741,245,277,148,407,0,0,0,0.508545217595355,0.409421483636465,0.630438433653121
"LNP_0147",0.524483952434612,246,265,208,362,0,0,0,0.519422151017093,0.497145005114234,0.555413210243611
"LNP_0083",0.524447878565384,247,294,135,416,0,0,0,0.493693926137296,0.388927919069976,0.633663762547284
"LNP_0315",0.524230427417489,248,279,184,385,0,0,0,0.508930175117503,0.456856802538449,0.588555986528457
"LNP_0394",0.523602423001827,249,233,101,311,0,0,0,0.564322610164848,0.388679247921019,0.753135975531657
"LNP_0148",0.522875692523728,250,247,83,351,0,0,0,0.539250195170638,0.380182255560188,0.726246291520286
"LNP_0209",0.522713868667843,251,251,149,315,0,0,0,0.533436645950555,0.430318248714367,0.705192186338736
"LNP_0450",0.521978952832932,252,246,198,316,0,0,0,0.540266110434045,0.452021369655616,0.68070976420706
"LNP_0469",0.52011409734696,253,277,198,378,0,0,0,0.509739437441511,0.471706640898494,0.571511825863983
"LNP_0461",0.516125668914118,254,198,21,389,0,0,0,0.589011506457699,0.269367595137494,0.882272811221175
"LNP_0223",0.514212914943711,255,266,189,390,0,0,0,0.515944455532686,0.440328316192289,0.59084819758911
"LNP_0275",0.513318651472147,256,254,108,319,0,0,0,0.533436232728979,0.402849329817155,0.70398997146957
"LNP_0301",0.511649076201591,257,238,84,333,0,0,0,0.557564575446273,0.361498845439411,0.772446717844416
"LNP_0426",0.511558216048326,258,267,210,378,0,0,0,0.518000529723002,0.452032216001074,0.584465925020413
"LNP_0061",0.511278757280907,259,261,153,388,0,0,0,0.522770942901701,0.326681466772137,0.704198352284564
"LNP_0203",0.510203094262598,260,262,148,407,0,0,0,0.521582072730854,0.29685085736829,0.702137901736164
"LNP_0217",0.509585872749706,261,273,196,425,0,0,0,0.515604545124833,0.27244481817592,0.674865070069349
"LNP_0150",0.509470812696784,262,260,147,323,0,0,0,0.538542051285768,0.4117809099298,0.686600916322279
"LNP_0135",0.508854446162294,263,266,167,395,0,0,0,0.517199449165279,0.313859206750217,0.697307056838583
"LNP_0042",0.507886706564029,264,269,178,399,0,0,0,0.514660737443785,0.306648794495036,0.693913793159311
"LNP_0294",0.507067516230061,265,214,51,379,0,0,0,0.575114893545837,0.285426886350324,0.802876848090558
"LNP_0067",0.506990424587344,266,232,117,343,0,0,0,0.556949284076447,0.346263229281139,0.708783619702885
"LNP_0363",0.506775603719026,267,257,138,333,0,0,0,0.542533562102099,0.376310534347141,0.705189448941178
"LNP_0011",0.504457631033552,268,210,36,394,0,0,0,0.579302593355267,0.253699768198296,0.850778864925982
"LNP_0447",0.5041196456698,269,250,145,327,0,0,0,0.545618452606978,0.372082183141168,0.6889542868384
